,RMSE,MAE,R²,MAPE,predictions
XGBoost,12514.575452048235,3169.9872189557454,0.9341575517397861,36.96793973980304,[ 5604.0093  5341.389   5778.855  ...  7248.7085  9461.03   10933.32  ]
LightGBM,13687.647169597,3323.0965259501613,0.921235352722428,35.405832670645495,"[ 5396.24289727  5376.74851294  5516.11225166 ...  7781.73866835
  9488.36035578 11392.96674401]"
Random Forest,11825.892193794443,3138.5021038440686,0.9412048422123722,67.18325796142231,"[ 6174.74402851  5254.82937634  5751.41857459 ...  7578.17447812
  9375.05326627 10947.40627075]"
Gradient Boosting,14874.023411732844,3376.334237852307,0.906989784530203,41.01504501819676,"[ 5669.29229723  5473.99299448  5742.93619864 ...  7589.82761867
  9071.28215731 10585.5105862 ]"
Ensemble (Average),12888.993665903245,,0.9301587908663865,,"[ 5711.07212509  5361.74001098  5697.33050134 ...  7549.61231531
  9348.9315132  10964.80097836]"
